"","valid_concept_id","name","class","standard"
"1",19010868,"abarelix","Ingredient","Standard"
"2",792649,"abemaciclib","Ingredient","Standard"
"3",1301337,"adagrasib","Ingredient","Standard"
"4",902726,"ado-trastuzumab emtansine","Ingredient","Standard"
"5",43533090,"afatinib","Ingredient","Standard"
"6",40244266,"aflibercept","Ingredient","Standard"
"7",1309770,"aldesleukin","Ingredient","Standard"
"8",35604657,"alectinib","Ingredient","Standard"
"9",1396423,"alpelisib","Ingredient","Standard"
"10",1503057,"aminoglutethimide","Ingredient","Standard"
"11",1536935,"amivantamab","Ingredient","Standard"
"12",36854863,"amrubicin","Ingredient","Standard"
"13",1348265,"anastrozole","Ingredient","Standard"
"14",963987,"apalutamide","Ingredient","Standard"
"15",42629079,"atezolizumab","Ingredient","Standard"
"16",36861628,"aumolertinib","Ingredient","Standard"
"17",36850058,"belotecan","Ingredient","Standard"
"18",1397141,"bevacizumab","Ingredient","Standard"
"19",1344381,"bicalutamide","Ingredient","Standard"
"20",1559930,"binimetinib","Ingredient","Standard"
"21",1594187,"brigatinib","Ingredient","Standard"
"22",40222431,"cabazitaxel","Ingredient","Standard"
"23",43012292,"cabozantinib","Ingredient","Standard"
"24",36853469,"camrelizumab","Ingredient","Standard"
"25",1337620,"capecitabine","Ingredient","Standard"
"26",747200,"capivasertib","Ingredient","Standard"
"27",1145637,"capmatinib","Ingredient","Standard"
"28",1344905,"carboplatin","Ingredient","Standard"
"29",1350066,"carmustine","Ingredient","Standard"
"30",35200783,"cemiplimab","Ingredient","Standard"
"31",44818466,"ceritinib","Ingredient","Standard"
"32",1315411,"cetuximab","Ingredient","Standard"
"33",35884379,"chidamide","Ingredient","Standard"
"34",1390051,"chlorambucil","Ingredient","Standard"
"35",1397599,"cisplatin","Ingredient","Standard"
"36",35605804,"cobimetinib","Ingredient","Standard"
"37",40242675,"crizotinib","Ingredient","Standard"
"38",1310317,"cyclophosphamide","Ingredient","Standard"
"39",43532299,"dabrafenib","Ingredient","Standard"
"40",1311409,"dacarbazine","Ingredient","Standard"
"41",35200803,"dacomitinib","Ingredient","Standard"
"42",19058410,"degarelix","Ingredient","Standard"
"43",1525866,"diethylstilbestrol","Ingredient","Standard"
"44",1315942,"docetaxel","Ingredient","Standard"
"45",1338512,"doxorubicin","Ingredient","Standard"
"46",902725,"doxorubicin pegylated liposomal","Ingredient","Standard"
"47",1594034,"durvalumab","Ingredient","Standard"
"48",1301646,"elacestrant","Ingredient","Standard"
"49",1559914,"encorafenib","Ingredient","Standard"
"50",1466160,"ensartinib","Ingredient","Standard"
"51",37496447,"entrectinib","Ingredient","Standard"
"52",42900250,"enzalutamide","Ingredient","Standard"
"53",1344354,"epirubicin","Ingredient","Standard"
"54",40230712,"eribulin","Ingredient","Standard"
"55",1325363,"erlotinib","Ingredient","Standard"
"56",1548195,"estradiol","Ingredient","Standard"
"57",1349025,"estramustine","Ingredient","Standard"
"58",1350504,"etoposide","Ingredient","Standard"
"59",19011440,"everolimus","Ingredient","Standard"
"60",1398399,"exemestane","Ingredient","Standard"
"61",955632,"fluorouracil","Ingredient","Standard"
"62",955641,"fluorouracil 50 mg/ml injectable solution","Clinical Drug","Standard"
"63",1356461,"flutamide","Ingredient","Standard"
"64",19020079,"formestane","Ingredient","Standard"
"65",747237,"fruquintinib","Ingredient","Standard"
"66",1304044,"fulvestrant","Ingredient","Standard"
"67",36855491,"furmonertinib","Ingredient","Standard"
"68",1319193,"gefitinib","Ingredient","Standard"
"69",1314924,"gemcitabine","Ingredient","Standard"
"70",36878778,"gimeracil","Ingredient","Standard"
"71",1366310,"goserelin","Ingredient","Standard"
"72",19073699,"hyaluronidase","Ingredient","Standard"
"73",1377141,"hydroxyurea","Ingredient","Standard"
"74",35884401,"icotinib","Ingredient","Standard"
"75",19078187,"ifosfamide","Ingredient","Standard"
"76",1735491,"inavolisib","Ingredient","Standard"
"77",1380068,"interferon alfa-2b","Ingredient","Standard"
"78",40238188,"ipilimumab","Ingredient","Standard"
"79",1367268,"irinotecan","Ingredient","Standard"
"80",19025348,"ixabepilone","Ingredient","Standard"
"81",1359548,"lapatinib","Ingredient","Standard"
"82",1735080,"lazertinib","Ingredient","Standard"
"83",1315946,"letrozole","Ingredient","Standard"
"84",1388796,"leucovorin","Ingredient","Standard"
"85",1351541,"leuprolide","Ingredient","Standard"
"86",1389464,"levamisole","Ingredient","Standard"
"87",40168303,"levoleucovorin","Ingredient","Standard"
"88",1391846,"lomustine","Ingredient","Standard"
"89",35201733,"lorlatinib","Ingredient","Standard"
"90",739518,"margetuximab","Ingredient","Standard"
"91",1301267,"melphalan","Ingredient","Standard"
"92",1305058,"methotrexate","Ingredient","Standard"
"93",1389036,"mitomycin","Ingredient","Standard"
"94",1309188,"mitoxantrone","Ingredient","Standard"
"95",701915,"mobocertinib","Ingredient","Standard"
"96",746328,"nadofaragene firadenovec","Ingredient","Standard"
"97",35606215,"necitumumab","Ingredient","Standard"
"98",35198201,"nedaplatin","Ingredient","Standard"
"99",793846,"neratinib","Ingredient","Standard"
"100",45775396,"nintedanib","Ingredient","Standard"
"101",45892628,"nivolumab","Ingredient","Standard"
"102",1734398,"nogapendekin alfa inbakicept","Ingredient","Standard"
"103",45892579,"olaparib","Ingredient","Standard"
"104",35605522,"osimertinib","Ingredient","Standard"
"105",36878777,"oteracil","Ingredient","Standard"
"106",1318011,"oxaliplatin","Ingredient","Standard"
"107",1378382,"paclitaxel","Ingredient","Standard"
"108",45892075,"palbociclib","Ingredient","Standard"
"109",19100985,"panitumumab","Ingredient","Standard"
"110",1714165,"peginterferon alfa-2a","Ingredient","Standard"
"111",45775965,"pembrolizumab","Ingredient","Standard"
"112",1304919,"pemetrexed","Ingredient","Standard"
"113",1466158,"penpulimab","Ingredient","Standard"
"114",42801287,"pertuzumab","Ingredient","Standard"
"115",1550557,"prednisolone","Ingredient","Standard"
"116",1351779,"procarbazine","Ingredient","Standard"
"117",36856361,"pyrotinib","Ingredient","Standard"
"118",19038536,"raltitrexed","Ingredient","Standard"
"119",44818489,"ramucirumab","Ingredient","Standard"
"120",779239,"relatlimab","Ingredient","Standard"
"121",739471,"relugolix","Ingredient","Standard"
"122",747362,"repotrectinib","Ingredient","Standard"
"123",1592911,"ribociclib","Ingredient","Standard"
"124",1718850,"rucaparib","Ingredient","Standard"
"125",1308432,"sargramostim","Ingredient","Standard"
"126",36853363,"semustine","Ingredient","Standard"
"127",36861273,"serplulimab","Ingredient","Standard"
"128",36854475,"sintilimab","Ingredient","Standard"
"129",1536963,"sotorasib","Ingredient","Standard"
"130",36854773,"sugemalimab","Ingredient","Standard"
"131",19136651,"suramin","Ingredient","Standard"
"132",35201068,"talazoparib","Ingredient","Standard"
"133",1436678,"tamoxifen","Ingredient","Standard"
"134",1734429,"tarlatamab","Ingredient","Standard"
"135",19056756,"tegafur","Ingredient","Standard"
"136",1341149,"temozolomide","Ingredient","Standard"
"137",19136750,"teniposide","Ingredient","Standard"
"138",739739,"tepotinib","Ingredient","Standard"
"139",19137385,"thiotepa","Ingredient","Standard"
"140",42609339,"tislelizumab","Ingredient","Standard"
"141",1378509,"topotecan","Ingredient","Standard"
"142",1342346,"toremifene","Ingredient","Standard"
"143",747052,"toripalimab","Ingredient","Standard"
"144",43532497,"trametinib","Ingredient","Standard"
"145",1387104,"trastuzumab","Ingredient","Standard"
"146",36118944,"trastuzumab deruxtecan","Ingredient","Standard"
"147",741851,"tremelimumab","Ingredient","Standard"
"148",905078,"trifluridine","Ingredient","Standard"
"149",1343039,"triptorelin","Ingredient","Standard"
"150",1145571,"tucatinib","Ingredient","Standard"
"151",19012543,"valrubicin","Ingredient","Standard"
"152",40238052,"vandetanib","Ingredient","Standard"
"153",40241937,"vemurafenib","Ingredient","Standard"
"154",19008264,"vinblastine","Ingredient","Standard"
"155",1308290,"vincristine","Ingredient","Standard"
"156",19008336,"vindesine","Ingredient","Standard"
"157",36878852,"vinflunine","Ingredient","Standard"
"158",1343346,"vinorelbine","Ingredient","Standard"
